total cases,total deaths,active cases,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,StringencyIndex,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity
3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
21,1,19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,27.38,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
79,2,75,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,35.32,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
157,3,152,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
229,7,221,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
323,11,310,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
470,12,455,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
655,17,593,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
889,21,822,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
1128,29,1049,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,64.44,60461826.0,206.0,47.0,69.0,24.0,17.0,1988636.0,3351.0,55.42340054,15.78333333,64.78333333
