country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Afghanistan,AFG,"38,928,346",60.0,18.0,25.0,,37.62,"18,734",184,4.726632876,6.216666667,56.93333333,2/23/2020
Albania,ALB,"2,877,797",105.0,36.0,63.0,29.4,11.67,"15,418",774,268.9557325,13.95,69.9,3/7/2020
Algeria,DZA,"43,851,044",18.0,29.0,73.0,,8.77,"172,781","1,031",23.51141286,19.56666667,61.71666667,2/24/2020
Andorra,AND,"77,265",164.0,45.0,88.0,32.5,,"91,527","5,949",76994.7583,7.3833333329999995,75.23333333,3/1/2020
Antigua and Barbuda,ATG,"97,929",223.0,34.0,26.0,,11.76,"1,688","1,105",11283.68512,,,3/12/2020
Argentina,ARG,"45,195,774",17.0,32.0,93.0,23.95,29.27,"445,469","1,390",30.75508785,32.81666667,43.61666667,3/2/2020
Armenia,ARM,"2,963,243",104.0,35.0,63.0,26.9,23.86,"13,444",883,297.98433680000005,7.1,58.5,2/29/2020
Netherlands,ABW,"106,766",593.0,41.0,44.0,,,"2,903",43,402.7499391,26.53333333,80.16666667,3/12/2020
Australia,AUS,"25,499,884",3.0,38.0,86.0,14.9,18.79,"1,376,255","4,492",176.15766409999998,25.78333333,64.23333333,1/24/2020
Austria,AUT,"9,006,398",109.0,43.0,57.0,35.15,17.02,"447,718","5,138",570.4833386,9.466666667,65.35,2/24/2020
Azerbaijan,AZE,"10,139,177",123.0,32.0,56.0,23.45,20.61,"47,171","1,191",117.46515520000001,10.16666667,68.08333333,2/27/2020
Bahamas,BHS,"393,244",39.0,32.0,86.0,,6.29,12160,"1,699",4320.472785,23.26666667,76.55,3/14/2020
Bahrain,BHR,"1,701,575",2239.0,32.0,89.0,13.6,18.37,"38,184","2,453",1441.605571,20.36666667,63.51666667,2/23/2020
Bangladesh,BGD,"164,689,383",1265.0,28.0,39.0,20.25,69.07,"317,465",88,0.534339242,30.28333333,42.35,3/7/2020
Barbados,BRB,"287,375",668.0,40.0,31.0,7.0,9.65,"5,189","1,234",4294.040887,26.9,74.95,3/16/2020
Belarus,BLR,"9,449,323",47.0,40.0,79.0,28.4,9.46,"62,572","1,085",114.8230408,3.983333333,81.48333333,2/27/2020
Belgium,BEL,"11,589,623",383.0,42.0,98.0,23.25,27.11,"517,609","4,782",412.6104878,9.533333333,78.41666667,2/3/2020
Belize,BLZ,"397,628",17.0,24.0,46.0,13.3,43.36,"348,400",524,1317.814641,,,3/22/2020
Benin,BEN,"12,123,200",108.0,19.0,48.0,9.35,29.33,"14,374",84,6.928863666,35.13333333,69.0,3/15/2020
Bhutan,BTN,"771,608",20.0,28.0,46.0,28.2,71.93,"2,842",287,371.95052410000005,8.866666667,73.68333333,3/5/2020
Bolivia,BOL,"11,673,021",11.0,26.0,69.0,23.8,18.42,"42,401",446,38.207761299999994,20.3,70.7,3/9/2020
Bosnia and Herzegovina,BIH,"3,280,819",64.0,43.0,52.0,38.6,18.48,"20,106","1,102",335.8917392,7.966666667,81.71666667,3/4/2020
Brazil,BRA,"212,559,417",25.0,33.0,88.0,15.3,26.57,"1,847,020","1,392",6.548757141,25.81666667,81.68333333,2/24/2020
Brunei,BRN,"437,479",83.0,32.0,80.0,16.2,33.05,"12,455","2,083",4761.371403,29.18333333,81.75,3/8/2020
Bulgaria,BGR,"6,948,445",64.0,45.0,76.0,35.3,19.79,"66,250","1,492",214.7243016,9.3,73.53333333,3/6/2020
Burkina Faso,BFA,"20,903,273",76.0,18.0,31.0,20.25,19.38,"14,593",96,4.592582224,37.75,10.98333333,3/8/2020
Cabo Verde,CPV,"554,441",138.0,27.6,68.0,17.6,18.77,"175,900",310,559.12171,,,3/19/2020
Cambodia,KHM,"16,718,965",95.0,26.0,24.0,23.45,34.21,"26,730",210,12.56058614,35.45,55.51666667,1/26/2020
Cameroon,CMR,"26,545,863",56.0,19.0,56.0,22.35,24.85,"38,632",163,6.140316478,35.11666667,65.41666667,3/5/2020
Canada,CAN,"37,742,154",4.0,41.0,81.0,14.95,19.01,"1,730,914","4,600",121.8796362,-1.8666666669999998,88.58333333,1/24/2020
